SECTORNUMBER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.832,2.223,40.221,0,113.248,2.443,260194.546,0,4.289,277.204,0.001,0,2265.64,0,0,0,0.001,0.001,0,0.002,0.003,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,349.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.769,0,269.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.805,0,0.001,0,36.529,0,0,13607.131,0,118.399,0.001,0,0.001,0,0,0,0,0.001,0,0.001,0.002,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,139.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.026,0,22.475,401.621,299.476,77.155,0,0,63298.647,3205.61,0.001,0,0.001,0,0,0,0.001,0.001,0,0.002,13.04,1.225,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.782,0,191.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.944,8.433,391.559,512.649,1437.532,239.964,151.869,0,657.255,126562.225,134.22,0,0.004,0,0,0,0.002,0.004,0,0.005,0.008,44.546,24.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,6.003,1940.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.293,0.001,850.643,2.378,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.42,1.125,1014.54,0.001,193.341,59.353,0.002,0.001,0.002,593.013,188793.01,0,0.005,0,0,0,0.002,44.133,0,0.006,3.527,0.004,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.005,2709.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,47.798,0.001,849.989,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1.003,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.198,0,0,0,0,0,0,0,0,0,0,33071.842,899.267,0,0,0,0,0.596,118.614,0,2425.132,0.002,1.919,454.293,8.304,0.561,0,0,0,0,0,37.046,24.62,0.003,0.001,2.643,0.003,0.004,1.366,0.004,0.004,0.015,0.004,28.678,0.001,0,0,0,0,0.004,0.004,437.735,0,0,0,0,0.007,952.908,1.907,44.322,313.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.433,0.001,230.524,2.232,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.014,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525,0,0,0,0,0,254.473,0,0,0,0,56.522,18071.455,0,0,0,0,0,1.582,0,49.398,0.001,0.001,0.131,0.412,11.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,12.777,77.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.936,0,52.001,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.44,0,0,0,0,0,0,0,0,0,0,0,0,47301.346,25.991,189.991,0.001,0.002,0,0,26.231,0.012,0.01,0.001,0,0,0,0,0,0,0,0.004,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.506,0.009,3.211,9.439,576.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,118.718,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,2.515,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.943,0,0,0,0,0,0,0,0,0,0,0,0,295.316,20724.133,198.878,0.001,0.002,0,0,0.019,0.009,0.007,0,0,0,0,0,0,0,0,0.003,31.125,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.007,2.376,6.984,218.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064,0,42.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,63.283,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.76,0,0,0,0,0,0,0,0,0,0,0,0,3468.199,216.01,61273.068,0.002,17.849,0,0,0.045,0.02,0.017,98.434,0.001,32.323,0,0,0,0,0,129.848,293.482,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1047.629,0.016,5.538,14.922,599.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.833,0.001,110.262,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.008,234.281,0
